820182,820260,820196,820213,0.7841681
820214,820258,820214,820258,0.05
820243,820265,820258,820244,0.77823504
820235,820316,820246,820288,0.83
820172,820287,820279,820287,1.1184109
820226,820422,820267,820257,3.060983
820292,820415,820300,820383,1.316
820337,820419,820415,820400,1.28742303
820125,820400,820358,820208,8.6605803
820125,820340,820208,820283,1.2704102
820276,820311,820282,820311,6.99498638
820306,820348,820306,820338,2.51664698
820348,820400,820348,820400,2.84275
820359,820400,820369,820400,1.13847937
820365,820459,820400,820430,2.265225
820430,820480,820458,820480,1.06964429
820443,820498,820460,820498,1.611239
820454,820499,820454,820467,0.60662584
820455,820482,820468,820455,0.2256442
820451,820486,820480,820451,0.6756925
820450,820498,820474,820472,1.1537507
820493,820500,820493,820493,1.34
820491,820497,820491,820497,0.05944104
820384,820498,820498,820407,3.39
820384,820437,820407,820437,1.01
820384,820500,820409,820500,4.41
820446,820510,820446,820453,1.52
820453,820471,820453,820471,0.02
820478,820499,820478,820488,0.43
820454,820489,820488,820454,0.65
820476,820479,820476,820478,0.04
820384,820579,820475,820579,6.03
820493,820588,820493,820536,2.24000013
820567,820594,820567,820567,2.08
820571,820591,820571,820584,0.05
820487,820632,820593,820487,2.85
820550,820670,820574,820576,5.5348
820579,820611,820591,820592,0.285576
820484,820594,820594,820485,3.41917957
820479,820485,820485,820482,0.4537
820471,820481,820481,820471,0.78389991
820471,820483,820481,820475,0.511
820441,820483,820483,820483,0.62
820483,820486,820483,820486,1.48
820481,820483,820483,820482,0.08089991
820482,820654,820482,820615,2.79852052
820608,820669,820635,820669,3.18
820598,820610,820610,820598,0.4721841
820598,820605,820600,820604,1.1268
820601,820604,820603,820601,0.44389993
820599,820599,820599,820599,0.05
820553,820599,820598,820553,1.3600569
820492,820568,820554,820526,1.55
820526,820529,820526,820526,0.08
820525,820607,820526,820607,2.54
820560,820573,820560,820565,0.1515678
820566,820626,820600,820626,1.01
820566,820660,820569,820660,0.67
820594,820594,820594,820594,0.088
820573,820606,820606,820573,0.15
820599,820599,820599,820599,0.0575966
820543,820599,820599,820567,0.304914
820535,820625,820569,820535,0.91
820532,820625,820535,820581,0.3317959
820581,820581,820581,820581,0.05
820529,820591,820581,820591,0.26
820578,820618,820591,820578,0.18
820621,820625,820622,820621,0.25
820604,820625,820622,820604,0.09389992
820604,820616,820604,820615,3.2934582
820617,820643,820620,820643,0.57
820619,820725,820645,820680,2.96
820710,820737,820725,820715,4.39
820711,820813,820715,820758,4.81227581
820748,820758,820749,820748,0.08
820749,820762,820758,820757,1.39
820730,820762,820755,820758,0.6459506
820722,820762,820762,820759,0.85
820723,820742,820723,820742,0.1393512
820742,820746,820746,820742,0.4379953
820723,820761,820723,820742,1.1600434
820721,820742,820726,820742,0.4336087
820695,820741,820741,820740,1.06773844
820594,820736,820731,820594,3.0892092
820580,820734,820734,820580,5.56408153
820587,820654,820654,820612,0.37
820615,820618,820618,820615,0.02
820580,820616,820613,820600,3.54
820590,820591,820591,820590,0.227596
820590,820591,820591,820591,0.07
820581,820591,820590,820590,0.27093321
820584,820600,820584,820600,1.27275
820587,820591,820590,820591,0.08
820580,820595,820591,820580,1.46351364
820589,820592,820592,820589,0.23
820581,820592,820592,820581,0.245465
820573,820589,820589,820573,4.94512101
820573,820583,820583,820573,0.0645631
820531,820678,820583,820531,5.0553278
